business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 33.8525303, 'lng': -117.856863}, 'viewport': {'northeast': {'lat': 33.85379217989271, 'lng': -117.8554272701073}, 'southwest': {'lat': 33.85109252010727, 'lng': -117.8581269298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ACC & Engineering - American Construction Company,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110495469383011876826"">Ben Hamed</a>'], 'photo_reference': 'AWU5eFgAxC_ZtK35jgBa61K8EU-U8S5ELR9LvII6ldZ2loMZ2MJa7CJOXBzrLvCPdiWBaQUpUCK7e7h4ColEXhCumZKGfkkfbrN1oLcendDIuUVqHMW-GDfSLpPJM8S75hC8wbJ5V4AY3YWnIsKaI9Dl0Pyh5oO7gKvROzFGo3XZrnhezc-p', 'width': 4032}]",ChIJmU0zBw7X3IARIr1-vzmP_nA,"{'compound_code': 'V43V+27 Anaheim, California', 'global_code': '8554V43V+27'}",5.0,ChIJmU0zBw7X3IARIr1-vzmP_nA,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']",58,"1130 N Kraemer Blvd # I, Anaheim"
OPERATIONAL,"{'location': {'lat': 33.9094376, 'lng': -117.8556914}, 'viewport': {'northeast': {'lat': 33.91071177989271, 'lng': -117.8544189701073}, 'southwest': {'lat': 33.90801212010727, 'lng': -117.8571186298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Infrastructure Engineers,{'open_now': True},,ChIJVVWFdl3U3IARIusneHIoE4k,"{'compound_code': 'W45V+QP Brea, California', 'global_code': '8554W45V+QP'}",4.7,ChIJVVWFdl3U3IARIusneHIoE4k,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']",29,"3060 Saturn St, Brea"
OPERATIONAL,"{'location': {'lat': 34.0923135, 'lng': -117.8820158}, 'viewport': {'northeast': {'lat': 34.09370072989272, 'lng': -117.8803326201073}, 'southwest': {'lat': 34.09100107010727, 'lng': -117.8830322798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Los Angeles Engineering Inc,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106329779552393293072"">Sergio Bernal</a>'], 'photo_reference': 'AWU5eFguNHR_rQ_W3coRePWaC74-oNfHrXCYh3dcUV5VjGvdZjpMjoTZWVVWKb5cosgcBp-siw8cOYwUh_hZxtZYtwLCiocUNxeIH32bVjyPq3grzAo4FX5c_K7zNd4qQuL9N7L13TEuapjAhFfyowAHrkj_R4UjOAapXFD2LpU_cgVGsvnh', 'width': 3024}]",ChIJCYUokl4ow4ARpcr3pF-lx04,"{'compound_code': '34R9+W5 Covina, California', 'global_code': '856434R9+W5'}",4.8,ChIJCYUokl4ow4ARpcr3pF-lx04,GOOGLE,"['point_of_interest', 'establishment']",16,"633 N Barranca Ave, Covina"
OPERATIONAL,"{'location': {'lat': 34.036158, 'lng': -117.6093129}, 'viewport': {'northeast': {'lat': 34.03767412989272, 'lng': -117.6077921201073}, 'southwest': {'lat': 34.03497447010728, 'lng': -117.6104917798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bisimoto Engineering,{'open_now': True},"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118167085994409618092"">Hedi K</a>'], 'photo_reference': 'AWU5eFgZzne-xgJgT7BbMKq1k3rfuUfOqhQp_7VszLNTArpXK6T6sfu-uG8LtLgdfZGkSfWoezk5aYibS5kzXw__hrqzETitGqrlMlJzw5m9UfhYJxih0BS4JuuPt3ICL9xkNJxekyL9ClGU-hPSNkoQwITbmju-BKsV0VpajmGp04sy4pvd', 'width': 2592}]",ChIJP3A9rsI0w4AR3cVNjP0Jarw,"{'compound_code': '29PR+F7 Ontario, California', 'global_code': '856429PR+F7'}",4.4,ChIJP3A9rsI0w4AR3cVNjP0Jarw,GOOGLE,"['point_of_interest', 'establishment']",68,"2060 S Lynx Pl, Ontario"
OPERATIONAL,"{'location': {'lat': 33.9671973, 'lng': -117.8487175}, 'viewport': {'northeast': {'lat': 33.96856587989272, 'lng': -117.8474604201073}, 'southwest': {'lat': 33.96586622010727, 'lng': -117.8501600798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sam Engineering,{'open_now': True},"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118084853129309656292"">A Google User</a>'], 'photo_reference': 'AWU5eFhvg1M_INa5aMJzc47eijl7Z84DztnjJUY79tFVoLlWrVJvyyHDj-y0O1r2mHqvB5EVNZh269AosQoiP225fObBM65wb42Ja5cXRcZuI2SGJzwpAPhLx0QUZBTm4exUxD1ooIhiL1fJFOOBEaIZ0rCiRgyZ_646RyLfV7aF8kGwTczI', 'width': 4032}]",ChIJLat0f0krw4ARTgEAIgF_1Cg,"{'compound_code': 'X582+VG Diamond Bar, California', 'global_code': '8554X582+VG'}",5.0,ChIJLat0f0krw4ARTgEAIgF_1Cg,GOOGLE,"['real_estate_agency', 'point_of_interest', 'establishment']",11,"3333 S Brea Canyon Rd STE 104, Diamond Bar"
OPERATIONAL,"{'location': {'lat': 34.0040791, 'lng': -117.680148}, 'viewport': {'northeast': {'lat': 34.00542827989272, 'lng': -117.6788367701073}, 'southwest': {'lat': 34.00272862010728, 'lng': -117.6815364298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Koury Engineering,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106354099690627847027"">David Menefee</a>'], 'photo_reference': 'AWU5eFiavVgUkCwFBMe40MvZLOu1eHm4pgr6hw3_G1YdHJ9TNr2-42tveIDiabvdTyye2WHZYxHEX6EEQR-GwfKesp-H5F8ULEafoG2zty72hSVJocG2stoui7pL2-uODbMmsGJ3Ugx3bu0pTABleT_1L_aQqMeThqDh1alutSjMn20ACO0E', 'width': 3264}]",ChIJg73eaaTM3IARyCkfU0aGmcg,"{'compound_code': '2839+JW Chino, California', 'global_code': '85642839+JW'}",4.4,ChIJg73eaaTM3IARyCkfU0aGmcg,GOOGLE,"['point_of_interest', 'establishment']",17,"5711 Schaefer Ave, Chino"
OPERATIONAL,"{'location': {'lat': 33.8556976, 'lng': -117.8626098}, 'viewport': {'northeast': {'lat': 33.85720297989272, 'lng': -117.8614928201073}, 'southwest': {'lat': 33.85450332010728, 'lng': -117.8641924798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Weistec Engineering,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118195693616875619958"">Damon Fleming</a>'], 'photo_reference': 'AWU5eFi6XkxyQ4DBBgsuqXjIrnYRZst5SRe9sMhkFA_1TfWFIIdCTWNHSi_2cb3b9PXBQSW8SmWX6JYW5ZvnsLhFnzOokAQ1o4S92JE9h0RPCzqjW8glY0pszymtqbUXkyyinCSYjCgAg_tHWvZZNmWb527Cip8hSKMpgjWItCC5AJVHhAVD', 'width': 12000}]",ChIJf8ch20TZ3IARqmy_n0QeNXM,"{'compound_code': 'V44P+7X Anaheim, California', 'global_code': '8554V44P+7X'}",4.3,ChIJf8ch20TZ3IARqmy_n0QeNXM,GOOGLE,"['car_repair', 'point_of_interest', 'store', 'establishment']",87,"1266 N La Loma Cir, Anaheim"
OPERATIONAL,"{'location': {'lat': 34.0957986, 'lng': -117.6515975}, 'viewport': {'northeast': {'lat': 34.09703587989272, 'lng': -117.6502825701073}, 'southwest': {'lat': 34.09433622010728, 'lng': -117.6529822298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Andreasen Engineering Inc,{'open_now': True},,ChIJrwrGK-Itw4AR3vYlJo_kRiU,"{'compound_code': '38WX+88 Upland, California', 'global_code': '856438WX+88'}",4.3,ChIJrwrGK-Itw4AR3vYlJo_kRiU,GOOGLE,"['point_of_interest', 'establishment']",8,"195 N Euclid Ave Suite 101, Upland"
OPERATIONAL,"{'location': {'lat': 33.8826592, 'lng': -117.5357348}, 'viewport': {'northeast': {'lat': 33.88394812989272, 'lng': -117.5345021701073}, 'southwest': {'lat': 33.88124847010727, 'lng': -117.5372018298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,K & B Engineering,{'open_now': True},"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114485811107918889126"">cecilia joy</a>'], 'photo_reference': 'AWU5eFi5qqNtda9lHgjZPrGN-TjCKTBe2pVKB5SzqjR-zh-Yj6KEzuqOMu1GgyH8l5VoyQaX9Dvq1SnKjTZG1Ojv7vrvut5tDHZZdPGEYWhFjhaRXYAboxSvuZEAf4qQb8Mk4rQoag2U5KcG67oiIdpUs0NWKl30eUYcEsnYjm0wOR52p7Ls', 'width': 1440}]",ChIJowmXw--33IARI2xcH5ZMCzo,"{'compound_code': 'VFM7+3G Corona, California', 'global_code': '8554VFM7+3G'}",3.9,ChIJowmXw--33IARI2xcH5ZMCzo,GOOGLE,"['point_of_interest', 'establishment']",14,"290 Corporate Terrace Cir # 20, Corona"
OPERATIONAL,"{'location': {'lat': 33.8592263, 'lng': -117.839381}, 'viewport': {'northeast': {'lat': 33.86061427989272, 'lng': -117.8379853701072}, 'southwest': {'lat': 33.85791462010727, 'lng': -117.8406850298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pool Engineering,{'open_now': True},"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105946621327706745744"">alfred Manning</a>'], 'photo_reference': 'AWU5eFjupHadYyGBBp0ut_khmo1DsQ0i7GakAjtOMp8m7VPuNe2lgkcFL-TISqCJit_Io64jhJLsdC-JZn5VZF6cilbucRjIjQCU66vIDgEaF1XWig1JaXBYpF7IJ3dQZwfsCZatlAUewpQdF9dJci3qzebGJ0QfdMKsHn9T3egPVSaBlJ8s', 'width': 3968}]",ChIJ5xLrxLfW3IARJW505z3d7O0,"{'compound_code': 'V556+M6 Anaheim, California', 'global_code': '8554V556+M6'}",4.7,ChIJ5xLrxLfW3IARJW505z3d7O0,GOOGLE,"['point_of_interest', 'establishment']",21,"1201 N Tustin Ave, Anaheim"
