business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.1141508, 'lng': -117.8256747}, 'viewport': {'northeast': {'lat': 34.11546252989272, 'lng': -117.8243230201073}, 'southwest': {'lat': 34.11276287010728, 'lng': -117.8270226798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Southwest Edm,ChIJT3eTerEow4ARoPs5aeeCnZw,"{'compound_code': '457F+MP Glendora, California', 'global_code': '8564457F+MP'}",5,ChIJT3eTerEow4ARoPs5aeeCnZw,GOOGLE,"['point_of_interest', 'establishment']",1,"2041 W Gladstone St # F, Glendora",,,
OPERATIONAL,"{'location': {'lat': 33.8703259, 'lng': -117.7556166}, 'viewport': {'northeast': {'lat': 33.87164627989272, 'lng': -117.7543485701073}, 'southwest': {'lat': 33.86894662010727, 'lng': -117.7570482298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Quality EDM, Inc",ChIJPSRq2drR3IARah6s6vDpXGE,"{'compound_code': 'V6CV+4Q Anaheim, California', 'global_code': '8554V6CV+4Q'}",0,ChIJPSRq2drR3IARah6s6vDpXGE,GOOGLE,"['point_of_interest', 'establishment']",0,"8025 E Crystal Dr, Anaheim",{'open_now': False},"[{'height': 850, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103351307673083332232"">A Google User</a>'], 'photo_reference': 'AWU5eFgXcEKe5ldPAhOHFQYwRC88M5tFrXR5LHbDvFJQnpQEVl0IPa4y6ibGWVnOTfkEMSLSJ2XgeLA42peFKQ1HUKK2HDvG_fsPwHxuyaIW04uhG45oKvpW3nB-d84WgfRHi8Wzzisyp-P6P-GPUse5ED8DLnNcLpWwxIwnxeu7kxplAnbC', 'width': 1920}]",
OPERATIONAL,"{'location': {'lat': 33.8842973, 'lng': -117.5843483}, 'viewport': {'northeast': {'lat': 33.88565367989272, 'lng': -117.5830623201072}, 'southwest': {'lat': 33.88295402010728, 'lng': -117.5857619798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diemold Services Wire EDM,ChIJJ8Iv0kLI3IARdabJ1_PabqI,"{'compound_code': 'VCM8+P7 Corona, California', 'global_code': '8554VCM8+P7'}",5,ChIJJ8Iv0kLI3IARdabJ1_PabqI,GOOGLE,"['point_of_interest', 'establishment']",1,"1149 Pomona Rd STE C, Corona",{'open_now': False},,
OPERATIONAL,"{'location': {'lat': 33.9995847, 'lng': -117.6967984}, 'viewport': {'northeast': {'lat': 34.00083852989272, 'lng': -117.6954572201073}, 'southwest': {'lat': 33.99813887010728, 'lng': -117.6981568798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,EDM Recycling Inc.,ChIJ24Uve9Myw4ARo_cUPXXWUV4,"{'compound_code': 'X8X3+M7 Chino, California', 'global_code': '8554X8X3+M7'}",5,ChIJ24Uve9Myw4ARo_cUPXXWUV4,GOOGLE,"['point_of_interest', 'establishment']",4,"13975 Monte Vista Ave, Chino",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107880517926620517627"">A Google User</a>'], 'photo_reference': 'AWU5eFjHs9TdtdoHKPwZzoJu-p_ZyIPqSf1Fdk06REPBz3cUQLo_tL7pAf3GuhWZzpoxHIxNkKzZchVuK11smx95QvY4yc94-4CETecuRv3qThBfXCOcE1mxsVr4CMAEH-wR8j2BHk2ZSisyYn15iOdzlHyVDrCmuADyZYfO_p0eEqUzrqkr', 'width': 4032}]",
OPERATIONAL,"{'location': {'lat': 33.9294197, 'lng': -117.901052}, 'viewport': {'northeast': {'lat': 33.93079307989272, 'lng': -117.8997531201073}, 'southwest': {'lat': 33.92809342010728, 'lng': -117.9024527798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Able Wire EDM, INC.",ChIJf-RIfz_V3IARTLhgVn9LV3Y,"{'compound_code': 'W3HX+QH Brea, California', 'global_code': '8554W3HX+QH'}",0,ChIJf-RIfz_V3IARTLhgVn9LV3Y,GOOGLE,"['point_of_interest', 'establishment']",0,"440 Atlas St, Brea",{'open_now': True},,
OPERATIONAL,"{'location': {'lat': 33.8550173, 'lng': -117.8454154}, 'viewport': {'northeast': {'lat': 33.85639312989272, 'lng': -117.8440767201073}, 'southwest': {'lat': 33.85369347010727, 'lng': -117.8467763798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,R Davis EDM,ChIJw9jgVcbW3IARKN9YvIxcvgQ,"{'compound_code': 'V543+2R Anaheim, California', 'global_code': '8554V543+2R'}",0,ChIJw9jgVcbW3IARKN9YvIxcvgQ,GOOGLE,"['point_of_interest', 'establishment']",0,"1121 N Cosby Way # K, Anaheim",,,
OPERATIONAL,"{'location': {'lat': 34.1020626, 'lng': -117.8157906}, 'viewport': {'northeast': {'lat': 34.10335687989272, 'lng': -117.8144256201073}, 'southwest': {'lat': 34.10065722010728, 'lng': -117.8171252798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,A & H Wire Edm,ChIJc-ByRzsvw4ARAtldlaIir4Q,"{'compound_code': '452M+RJ San Dimas, California', 'global_code': '8564452M+RJ'}",5,ChIJc-ByRzsvw4ARAtldlaIir4Q,GOOGLE,"['point_of_interest', 'establishment']",1,"474 W Arrow Hwy k, San Dimas",{'open_now': False},,
CLOSED_TEMPORARILY,"{'location': {'lat': 34.0118645, 'lng': -117.8596917}, 'viewport': {'northeast': {'lat': 34.01318107989272, 'lng': -117.8583969201073}, 'southwest': {'lat': 34.01048142010728, 'lng': -117.8610965798928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mix 247 EDM,ChIJl2yBwjcrw4ARcujOtdSv7DE,"{'compound_code': '246R+P4 Walnut, California', 'global_code': '8564246R+P4'}",0,ChIJl2yBwjcrw4ARcujOtdSv7DE,GOOGLE,"['point_of_interest', 'establishment']",0,"340 S Lemon Ave #2576, Walnut",,,True
OPERATIONAL,"{'location': {'lat': 33.8703259, 'lng': -117.7556166}, 'viewport': {'northeast': {'lat': 33.87164627989272, 'lng': -117.7543485701073}, 'southwest': {'lat': 33.86894662010727, 'lng': -117.7570482298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Quality EDM, Inc",ChIJPSRq2drR3IARah6s6vDpXGE,"{'compound_code': 'V6CV+4Q Anaheim, California', 'global_code': '8554V6CV+4Q'}",0,ChIJPSRq2drR3IARah6s6vDpXGE,GOOGLE,"['point_of_interest', 'establishment']",0,"8025 E Crystal Dr, Anaheim",{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103351307673083332232"">A Google User</a>'], 'photo_reference': 'AWU5eFgyrsp1KLofHx9BgS1Xtz7ZGQxRnXzvxz11tpsw-mM0QtSwW0d3h_SPz8Wu55DbJeKGVszHkyIeLW5DB4aUX1x9qexR2g8ucBgSRbVC4nA0LZ06v8RZYb5vXXeUrN5AXXraLLnQT9HZFDf_IacCxPoQIxEYhrTyY7GKJe5yhQd8u-LB', 'width': 2048}]",
OPERATIONAL,"{'location': {'lat': 33.9294197, 'lng': -117.901052}, 'viewport': {'northeast': {'lat': 33.93079307989272, 'lng': -117.8997531201073}, 'southwest': {'lat': 33.92809342010728, 'lng': -117.9024527798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Able Wire EDM, INC.",ChIJf-RIfz_V3IARTLhgVn9LV3Y,"{'compound_code': 'W3HX+QH Brea, California', 'global_code': '8554W3HX+QH'}",0,ChIJf-RIfz_V3IARTLhgVn9LV3Y,GOOGLE,"['point_of_interest', 'establishment']",0,"440 Atlas St, Brea",{'open_now': True},,
